City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Kavaratti,IN,10.5669,72.642,80.8,77,54,8.93,broken clouds
332,Harrison,US,30.4091,-89.0436,68.02,90,1,3.44,clear sky
333,Maria La Baja,CO,9.9832,-75.3016,82.24,90,96,2.59,overcast clouds
334,Nanchang,CN,28.6833,115.8833,50.56,49,20,2.42,few clouds
335,Caravelas,BR,-17.7125,-39.2481,74.25,87,6,3.51,clear sky
336,Balkanabat,TM,39.5108,54.3671,45.18,62,0,7.85,clear sky
337,Bedford,GB,52.1346,-0.4663,41.22,89,100,16.06,light rain
338,Acari,PE,-15.4311,-74.6158,70.99,79,81,5.32,broken clouds
339,Necochea,AR,-38.5473,-58.7368,57.04,69,98,10.71,overcast clouds
340,Nanakuli,US,21.3906,-158.1547,75.7,70,20,12.66,light rain
341,Darhan,MN,49.4867,105.9228,11.07,90,59,4.23,broken clouds
342,Ghanzi,BW,-21.5667,21.7833,70.5,71,100,12.15,light rain
343,Kargil,IN,34.5667,76.1,13.39,77,77,2.33,light snow
344,Nalut,LY,30.3333,10.85,44.22,51,0,3.27,clear sky
345,Kazachinskoye,RU,57.6953,93.2761,19.9,87,100,10.85,overcast clouds
