City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Narsaq,GL,2021-11-28 01-03-12,60.9167,-46.05,39.42,100,100,1.77
277,General Pico,AR,2021-11-28 01-05-36,-35.6566,-63.7568,59.52,91,100,5.91
278,Omboue,GA,2021-11-28 01-05-37,-1.5746,9.2618,75.87,90,100,1.32
279,Yenagoa,NG,2021-11-28 01-05-37,4.9247,6.2642,75.63,92,84,4.16
280,Ipixuna,BR,2021-11-28 01-05-37,-1.7625,-48.8043,78.75,95,0,4.05
281,Yumbe,UG,2021-11-28 01-05-38,3.4651,31.2469,65.68,89,99,2.48
282,Nanakuli,US,2021-11-28 01-05-38,21.3906,-158.1547,82.35,62,90,5.75
283,Jerantut,MY,2021-11-28 01-05-38,3.936,102.3626,76.77,92,100,1.79
284,Slave Lake,CA,2021-11-28 01-05-39,55.2834,-114.769,28.81,79,99,11.99
285,Padang,ID,2021-11-28 01-05-39,-0.9492,100.3543,81.05,70,100,0.54
286,Angoche,MZ,2021-11-28 01-05-39,-16.2325,39.9086,75.74,67,92,14.52
287,Ranong,TH,2021-11-28 01-05-40,9.9658,98.6348,77.7,81,88,7.05
288,Yanaul,RU,2021-11-28 01-05-40,56.2719,54.9309,11.26,85,12,9.62
289,San Patricio,US,2021-11-28 01-05-41,28.017,-97.5169,55.26,83,100,9.04
290,Takoradi,GH,2021-11-28 01-02-59,4.8845,-1.7554,78.93,83,100,6.17
291,Brasileia,BR,2021-11-28 01-05-41,-11.0161,-68.7481,73.31,98,100,2.46
292,Altamont,US,2021-11-28 01-05-41,42.2068,-121.7372,51.64,71,75,0.0
293,Garbolovo,RU,2021-11-28 01-05-42,60.3413,30.4955,27.59,72,100,14.09
