City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Mana,GF,77.56,overcast clouds,5.6592,-53.7767,LE SAMANA
357,Adrar,MR,65.08,overcast clouds,20.5022,-10.0711,
359,Sao Miguel Do Araguaia,BR,74.79,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
362,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
363,Luanda,AO,77.0,light rain,-8.8368,13.2343,Hotel Fórum
364,Okitipupa,NG,76.82,broken clouds,6.5047,4.7839,Coastal Hotel & Suites
365,Saint-Joseph,RE,74.21,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
369,San Patricio,US,80.69,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
371,Hobyo,SO,78.67,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
373,Gwembe,ZM,72.46,clear sky,-16.4975,27.6069,
377,Pontes E Lacerda,BR,77.05,heavy intensity rain,-15.2261,-59.3353,Hotel Bressan
385,Jalingo,NG,79.75,broken clouds,8.8833,11.3667,Debright Motel
386,Kismayo,SO,79.18,scattered clouds,-0.3582,42.5454,Agan-Hotel
389,Santo Antonio Do Ica,BR,74.46,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
391,Huarmey,PE,67.69,overcast clouds,-10.0681,-78.1522,Hotel Miramar
394,Acapulco,MX,79.79,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
395,Ambon,ID,80.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
396,Monrovia,LR,78.57,broken clouds,6.3005,-10.7969,Sunset Inn
397,Wairoa,NZ,73.6,overcast clouds,-39.0333,177.3667,Riverside Motor Camp
398,Poum,NC,81.54,few clouds,-20.2333,164.0167,Gîte kajeon
400,Tonj,SS,80.46,few clouds,7.2737,28.6822,Lakan Hotel
401,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
405,Davila,PH,71.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
406,Tabatinga,BR,80.69,scattered clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
409,Hatillo,PR,79.93,scattered clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
410,Beloha,MG,72.41,clear sky,-25.1667,45.05,
416,Sunyani,GH,74.21,broken clouds,7.3399,-2.3268,Nass Lodge
418,Ballina,AU,75.38,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
420,Temerloh,MY,73.44,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
421,Sao Jose Da Coroa Grande,BR,77.97,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
431,Am Timan,TD,77.38,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
433,Sinnamary,GF,77.9,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
435,Camargo,MX,70.56,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
437,Oyem,GA,69.51,overcast clouds,1.5995,11.5793,Commissariat de police
442,Hambantota,LK,76.89,broken clouds,6.1241,81.1185,Bungalow 63
444,Mersing,MY,76.91,overcast clouds,2.4312,103.8405,Timotel Hotel
448,Alta Floresta,BR,73.76,heavy intensity rain,-9.8756,-56.0861,Floresta Amazonica Hotel
449,Mitzic,GA,70.38,overcast clouds,0.7821,11.549,Motel Emys
450,Christchurch,NZ,80.01,broken clouds,-43.5333,172.6333,The George
452,Mutoko,ZW,71.01,few clouds,-17.397,32.2268,Mutoko Hotel
455,Presidencia Roque Saenz Pena,AR,80.46,broken clouds,-26.7852,-60.4388,Hotel Aconcagua
458,Seguela,CI,79.68,scattered clouds,7.9611,-6.6731,Hotel le Carrefour
459,Granja,BR,78.82,broken clouds,-3.1203,-40.8261,Pousada Casa Grande
460,Saint-Leu,RE,74.68,clear sky,-21.15,55.2833,La Caz Oceane
464,Tibacuy,CO,79.86,overcast clouds,4.3511,-72.4564,hospedaje las palmas
466,Marsh Harbour,BS,76.21,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
467,Harindanga,IN,71.58,overcast clouds,22.0383,88.3214,Hasanur Builders
470,Jawhar,SO,74.34,broken clouds,2.7809,45.5005,hantiwadaag village part one
472,Kourou,GF,77.05,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
477,Sesheke,ZM,76.32,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
478,Mercedes,AR,71.04,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
480,Sambava,MG,77.04,scattered clouds,-14.2667,50.1667,Melrose
483,Koupela,BF,77.67,clear sky,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
484,Shurugwi,ZW,72.07,broken clouds,-19.6702,30.0059,Flame Lily Lodge
489,Singkang,MY,75.09,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
493,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
495,Bossangoa,CF,77.11,broken clouds,6.4926,17.4552,LA PERLE DE BOSTON
496,Tres Lagoas,BR,79.74,broken clouds,-20.7511,-51.6783,Druds Express Hotel
497,Bodden Town,KY,80.01,overcast clouds,19.2833,-81.25,Will T Place
500,Inongo,CD,69.78,overcast clouds,-1.95,18.2667,Hotel Du Lac
504,Corrente,BR,73.71,light rain,-3.7367,-43.3394,Chapadinhense Hotel
508,Santa Luzia,BR,72.68,clear sky,-19.7697,-43.8514,Pousada Chao Earth
512,Surat Thani,TH,78.19,few clouds,9.1667,99.25,Suankafae Resort
513,Acarau,BR,79.81,scattered clouds,-2.8856,-40.12,castelo pizzaria
519,Villamar,MX,67.06,scattered clouds,20.0167,-102.6,plaza Guaracha
520,Nyimba,ZM,77.29,few clouds,-14.5566,30.8149,Dali Dali Lodge
522,Thayetmyo,MM,68.52,broken clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
524,Cayenne,GF,77.04,light rain,4.9333,-52.3333,Hôtel Le Dronmi
528,Santa Cruz,BO,81.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
530,Santa Teresa,VE,70.07,scattered clouds,10.2341,-66.6631,Funeraria Lira
532,Midland,US,70.47,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
534,Wum,CM,72.34,overcast clouds,6.3833,10.0667,Wum Council Hall
535,Necocli,CO,77.94,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
539,Fomboni,KM,81.97,scattered clouds,-12.28,43.7425,Auberge les abou
541,Santa Isabel Do Rio Negro,BR,74.21,overcast clouds,-0.4139,-65.0192,Hotel GSA
543,Aloleng,PH,76.17,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
546,Aduturai,IN,72.61,scattered clouds,11.0147,79.4791,Mantra Koodam - CGH Earth
547,Bull Savanna,JM,75.56,overcast clouds,17.8868,-77.5902,Big Red's
552,Lazaro Cardenas,MX,79.43,broken clouds,17.9583,-102.2,quinta antigua
